type,directory,path,size,modified,permissions
file,"repos/projfind",".git/objects/da/48453b51006965ae0498bc731faae608a580dd",761,1744179961,644
dir,"repos/projfind",".git/objects/df/",76,1743506982,755
file,"repos/projfind",".git/objects/df/ec464726e5181577d1bc35fe1f7e35331d0ce2",297,1744116032,644
dir,"repos/projfind",".git/objects/e8/",76,1743506982,755
file,"repos/projfind",".git/objects/e8/55fe20e43e92e1bcd4cd5710b28e55a826bb30",1806,1743506982,644
dir,"repos/projfind",".git/objects/ec/",76,1743418522,755
file,"repos/projfind",".git/objects/ec/98fc190caf56fd498351832908feb4f181fc8a",396,1743418518,644
dir,"repos/projfind",".git/objects/info/",0,1743401321,755
dir,"repos/projfind",".git/objects/pack/",296,1743434535,755
file,"repos/projfind",".git/objects/pack/pack-61ecb5aca089da0ef832eaa216764793abf0ec6b.idx",3396,1743401324,644
file,"repos/projfind",".git/objects/pack/pack-61ecb5aca089da0ef832eaa216764793abf0ec6b.pack",34585,1744181103,644
file,"repos/projfind",".git/objects/pack/pack-61ecb5aca089da0ef832eaa216764793abf0ec6b.rev",384,1743401324,644
file,"repos/projfind",".git/packed-refs",228,1743401324,644
dir,"repos/projfind",".git/refs/",32,1743401324,755
dir,"repos/projfind",".git/refs/heads/",8,1744179976,755
file,"repos/projfind",".git/refs/heads/main",41,1744179976,644
dir,"repos/projfind",".git/refs/remotes/",12,1743401324,755
dir,"repos/projfind",".git/refs/remotes/origin/",16,1744179981,755
file,"repos/projfind",".git/refs/remotes/origin/HEAD",30,1743401324,644
file,"repos/projfind",".git/refs/remotes/origin/main",41,1744179981,644
dir,"repos/projfind",".git/refs/tags/",0,1743401324,755
dir,"repos/projfind",".git/rr-cache/",0,1743418560,755
dir,"repos/projfind",".github/",18,1743401324,755
dir,"repos/projfind",".github/workflows/",34,1744181100,755
file,"repos/projfind",".github/workflows/ci.yml",2645,1744181095,644
file,"repos/projfind",".github/workflows/publish.yml",2941,1743401324,644
file,"repos/projfind",".gitignore",8,1744181110,644
file,"repos/projfind","Cargo.lock",32822,1744180164,644
file,"repos/projfind","Cargo.toml",1205,1744180329,644
file,"repos/projfind","LICENSE-APACHE",11357,1743401324,644
file,"repos/projfind","LICENSE-MIT",1072,1743401324,644
file,"repos/projfind","README.md",2987,1743401324,644
dir,"repos/projfind","benches/",70,1743504888,755
file,"repos/projfind","benches/benchmark.rs",603,1743507257,644
dir,"repos/projfind","benches/common/",64,1744178507,755
file,"repos/projfind","benches/common/default.rs",55,1744178557,644
file,"repos/projfind","benches/common/mod.rs",69,1744178570,644
file,"repos/projfind","benches/common/setup.rs",5438,1744179445,644
file,"repos/projfind","benches/common/utils.rs",1646,1744179873,644
dir,"repos/projfind","benches/fixtures/",64,1743402007,755
file,"repos/projfind","benches/fixtures/snapshot-2025-03-31_09-20-03.csv",34307881,1743404688,644
dir,"repos/projfind","benches/scenarios/",76,1743505197,755
file,"repos/projfind","benches/scenarios/basic.rs",1070,1744179881,644
file,"repos/projfind","benches/scenarios/edge_cases.rs",147,1744179825,644
file,"repos/projfind","benches/scenarios/mod.rs",53,1743505198,644
file,"repos/projfind","benches/scenarios/specific.rs",163,1744179828,644
file,"repos/projfind","justfile",104,1743401324,644
dir,"repos/projfind","scripts/",16,1743401324,755
file,"repos/projfind","scripts/snapshot",6277,1743401324,755
dir,"repos/projfind","src/",138,1743401324,755
file,"repos/projfind","src/commands.rs",5888,1743401324,644
file,"repos/projfind","src/config.rs",598,1743401324,644
file,"repos/projfind","src/dependencies.rs",1255,1743401324,644
file,"repos/projfind","src/errors.rs",592,1743401324,644
file,"repos/projfind","src/finder.rs",12219,1743401324,644
file,"repos/projfind","src/main.rs",1260,1744116028,644
file,"repos/projfind","src/marker.rs",707,1743401324,644
dir,"repos/projfind","tests/",12,1743401324,755
file,"repos/projfind","tests/foo.rs",39,1743401324,644
